,屋内気温,屋内気温,屋内気温,屋内気温,屋内気温,屋内湿度,屋内湿度,屋内湿度,屋内湿度,屋内湿度,屋内CO2濃度,屋内CO2濃度,屋内CO2濃度,屋内CO2濃度,屋内CO2濃度,屋内絶対湿度,屋内絶対湿度,屋内絶対湿度,屋内絶対湿度,屋内絶対湿度,カーテン２,カーテン２,カーテン２,カーテン２,カーテン２,屋内飽差,屋内飽差,屋内飽差,屋内飽差,屋内飽差
DateTime,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirTemp-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InAirHumid-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InCO2Dens-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,InAirHumidSH.mIA-2-0-0,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,opr_Ctn.aMC-2-1-2,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0,InAirSatuDef.mIA-2-0-0
日時,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差,瞬時,最大,最小,平均,較差
2020/7/1 0:00,24.9,24.9,0,24.808,24.9,98,98,98,98,0,560,566,559,560.407,7,19.5,19.5,19.4,19.407,0.1,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 0:05,25,25,0,24.9,25,97,98,97,97.852,1,560,565,560,560.778,5,19.5,19.7,19.3,19.5,0.4,10,10,10,10,0,0.6,0.6,0.3,0.344,0.3
2020/7/1 0:10,25.1,25.1,0,25.019,25.1,96,97,96,96.444,1,560,561,556,558,5,19.4,19.5,19.3,19.396,0.2,10,10,10,10,0,0.8,0.8,0.5,0.707,0.3
2020/7/1 0:15,25.1,25.2,0,24.174,25.2,96,96,95,95.481,1,556,561,556,557.852,5,19.4,19.4,19.2,19.3,0.2,10,10,10,10,0,0.8,1,0.8,0.904,0.2
2020/7/1 0:20,25.2,25.2,0,24.2,25.2,95,96,95,95.407,1,561,561,556,559.111,5,19.3,19.4,19.2,19.322,0.2,10,10,10,10,0,1,1,0.8,0.919,0.2
2020/7/1 0:25,25.1,25.2,0,25.159,25.2,96,96,95,95.333,1,560,561,556,558.185,5,19.4,19.5,19.2,19.33,0.3,10,10,10,10,0,0.8,1,0.8,0.933,0.2
2020/7/1 0:30,25.1,25.1,0,24.163,25.1,96,96,96,96,0,561,561,560,560.111,1,19.4,19.4,19.3,19.4,0.1,10,10,10,10,0,0.8,0.8,0.8,0.8,0
2020/7/1 0:35,25,25.1,0,25.074,25.1,96,97,96,96.333,1,560,561,557,560.037,4,19.3,19.6,19.3,19.452,0.3,10,10,10,10,0,0.8,0.8,0.6,0.733,0.2
2020/7/1 0:40,25.2,25.2,0,25.1,25.2,95,96,95,95.852,1,560,561,560,560.148,1,19.3,19.4,19.2,19.367,0.2,10,10,10,10,0,1,1,0.8,0.837,0.2
2020/7/1 0:45,25.2,25.2,0,25.189,25.2,95,95,95,95,0,560,561,555,558.481,6,19.3,19.3,19.2,19.293,0.1,10,10,10,10,0,1,1,1,1,0
2020/7/1 0:50,25.1,25.2,0,25.13,25.2,96,96,95,95.593,1,560,561,557,559.852,4,19.4,19.5,19.2,19.374,0.3,10,10,10,10,0,0.8,1,0.8,0.874,0.2
2020/7/1 0:55,25.1,25.2,0,24.17,25.2,97,97,96,96.037,1,561,561,559,559.926,2,19.6,19.6,19.4,19.407,0.2,10,10,10,10,0,0.6,0.8,0.6,0.793,0.2
2020/7/1 1:00,25.1,25.1,0,24.163,25.1,97,97,97,97,0,560,565,560,560.704,5,19.6,19.6,19.5,19.596,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:05,25,25.1,0,25.07,25.1,97,97,97,97,0,560,561,560,560.296,1,19.5,19.6,19.5,19.559,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:10,25.1,25.1,0,25.019,25.1,97,97,97,97,0,560,561,555,559,6,19.6,19.6,19.5,19.533,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:15,25.1,25.1,0,25.052,25.1,95,97,95,96.333,2,559,561,559,560.037,2,19.2,19.6,19.2,19.404,0.4,10,10,10,10,0,1,1,0.6,0.741,0.4
2020/7/1 1:20,25.1,25.1,0,25.1,25.1,96,96,95,95.444,1,560,561,559,559.889,2,19.4,19.4,19.2,19.289,0.2,10,10,10,10,0,0.8,1,0.8,0.911,0.2
2020/7/1 1:25,25.2,25.2,0,25.111,25.2,94,96,94,95.667,2,556,562,556,559.407,6,19.1,19.4,19.1,19.333,0.3,10,10,10,10,0,1.2,1.2,0.8,0.874,0.4
2020/7/1 1:30,25.2,25.2,0,25.185,25.2,96,96,94,94.852,2,561,561,556,559.037,5,19.5,19.5,19.1,19.248,0.4,10,10,10,10,0,0.8,1.2,0.8,1.03,0.4
2020/7/1 1:35,25.1,25.2,0,25.112,25.2,96,96,96,96,0,560,561,559,560.04,2,19.4,19.5,19.4,19.4,0.1,10,10,10,10,0,0.8,0.8,0.8,0.8,0
2020/7/1 1:40,25.1,25.1,0,25.089,25.1,96,96,96,96,0,560,561,560,560.185,1,19.4,19.4,19.3,19.396,0.1,10,10,10,10,0,0.8,0.8,0.8,0.8,0
2020/7/1 1:45,25.1,25.1,0,25.085,25.1,97,97,96,96.926,1,561,561,560,560.074,1,19.6,19.6,19.3,19.537,0.3,10,10,10,10,0,0.6,0.8,0.6,0.622,0.2
2020/7/1 1:50,25,25.1,0,24.122,25.1,97,97,97,97,0,560,561,557,559.444,4,19.5,19.6,19.5,19.548,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 1:55,25,25.1,0,24.096,25.1,97,97,97,97,0,561,561,560,560.111,1,19.5,19.6,19.5,19.522,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 2:00,25,25.1,0,24.074,25.1,97,97,97,97,0,560,561,560,560.222,1,19.5,19.6,19.5,19.5,0.1,10,10,10,10,0,0.6,0.6,0.6,0.6,0
2020/7/1 2:05,25,25,0,25,25,97,97,97,97,0,560,561,560,560.074,1,19.5,19.5,19.3,19.485,0.2,10,10,10,10,0,0.6,0.6,0.5,0.593,0.1
2020/7/1 2:10,24.9,25,0,24.948,25,97,97,97,97,0,560,562,560,560.259,2,19.3,19.5,19.3,19.374,0.2,10,10,10,10,0,0.5,0.6,0.5,0.537,0.1
2020/7/1 2:15,24.8,24.9,0,24.812,24.9,97,97,97,97,0,561,563,560,560.407,3,19.2,19.3,19.2,19.215,0.1,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 2:20,24.7,24.8,0,24.77,24.8,97,97,97,97,0,561,561,560,560.222,1,19.1,19.2,19.1,19.167,0.1,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 2:25,24.7,24.7,0,24.7,24.7,97,97,97,97,0,560,561,560,560.259,1,19.1,19.1,19.1,19.1,0,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 2:30,24.6,24.7,0,23.726,24.7,98,98,97,97,1,560,561,560,560.148,1,19.2,19.2,19,19.041,0.2,10,10,10,10,0,0.3,0.5,0.3,0.493,0.2
2020/7/1 2:35,24.6,24.6,0,24.6,24.6,98,98,98,98,0,560,561,560,560.185,1,19.2,19.2,19.2,19.2,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 2:40,24.6,24.6,0,24.6,24.6,98,98,98,98,0,560,561,560,560.111,1,19.2,19.2,19.2,19.2,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 2:45,24.6,24.6,0,24.6,24.6,98,98,98,98,0,560,565,560,560.667,5,19.2,19.2,19.2,19.2,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 2:50,24.6,24.6,0,24.6,24.6,98,98,98,98,0,560,561,560,560.111,1,19.2,19.2,19.2,19.2,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 2:55,24.5,24.6,0,24.585,24.6,98,98,97,97.889,1,560,562,560,560.074,2,19.1,19.2,18.9,19.17,0.3,10,10,10,10,0,0.3,0.5,0.3,0.315,0.2
2020/7/1 3:00,24.5,24.5,0,24.5,24.5,98,98,98,98,0,560,561,560,560.185,1,19.1,19.1,19.1,19.1,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 3:05,24.5,24.5,0,24.5,24.5,98,98,97,97.815,1,560,561,560,560.333,1,19.1,19.1,18.9,19.056,0.2,10,10,10,10,0,0.3,0.5,0.3,0.344,0.2
2020/7/1 3:10,24.5,24.5,0,24.5,24.5,98,98,98,98,0,560,561,560,560.296,1,19.1,19.1,19.1,19.1,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 3:15,24.4,24.5,0,23.556,24.5,98,98,98,98,0,561,562,560,560.148,2,18.9,19.1,18.9,19.026,0.2,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 3:20,24.4,24.4,0,24.4,24.4,98,98,98,98,0,560,561,560,560.333,1,18.9,18.9,18.9,18.9,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 3:25,24.4,24.4,0,24.4,24.4,97,98,97,97.556,1,560,562,560,560.222,2,18.7,18.9,18.7,18.811,0.2,10,10,10,10,0,0.5,0.5,0.3,0.389,0.2
2020/7/1 3:30,24.4,24.4,0,24.4,24.4,97,97,97,97,0,560,561,560,560.148,1,18.7,18.7,18.7,18.7,0,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 3:35,24.4,24.4,0,24.4,24.4,97,97,97,97,0,560,566,560,560.741,6,18.7,18.7,18.7,18.7,0,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 3:40,24.4,24.4,0,24.4,24.4,97,97,97,97,0,560,561,560,560.296,1,18.7,18.7,18.7,18.7,0,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 3:45,24.4,24.4,0,24.4,24.4,98,98,97,97.741,1,560,561,560,560.111,1,18.9,18.9,18.7,18.856,0.2,10,10,10,10,0,0.3,0.5,0.3,0.344,0.2
2020/7/1 3:50,24.4,24.4,0,24.4,24.4,98,98,98,98,0,561,561,560,560.296,1,18.9,18.9,18.9,18.9,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 3:55,24.4,24.4,0,24.4,24.4,98,98,98,98,0,560,565,560,560.704,5,18.9,18.9,18.9,18.9,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 4:00,24.4,24.4,0,24.4,24.4,97,98,97,97.111,1,560,561,560,560.111,1,18.7,18.9,18.7,18.715,0.2,10,10,10,10,0,0.5,0.5,0.3,0.485,0.2
2020/7/1 4:05,24.4,24.4,0,24.4,24.4,97,97,97,97,0,560,565,560,560.704,5,18.7,18.7,18.7,18.7,0,10,10,10,10,0,0.5,0.5,0.5,0.5,0
2020/7/1 4:10,24.4,24.4,0,24.4,24.4,98,98,97,97.963,1,560,565,560,560.926,5,18.9,18.9,18.7,18.893,0.2,10,10,10,10,0,0.3,0.5,0.3,0.307,0.2
2020/7/1 4:15,24.4,24.4,0,24.4,24.4,98,98,98,98,0,563,563,560,560.37,3,18.9,18.9,18.9,18.9,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 4:20,24.4,24.4,0,24.4,24.4,98,98,98,98,0,560,565,560,560.519,5,18.9,18.9,18.9,18.9,0,10,10,10,10,0,0.3,0.3,0.3,0.3,0
2020/7/1 4:25,24.4,24.4,0,24.4,24.4,97,98,97,97.815,1,560,565,560,560.778,5,18.7,18.9,18.7,18.863,0.2,10,10,10,10,0,0.5,0.5,0.3,0.337,0.2
2020/7/1 4:30,24.4,24.4,0,24.4,24.4,96,97,96,96.296,1,560,561,560,560.259,1,18.5,18.7,18.5,18.559,0.2,10,10,10,10,0,0.7,0.7,0.5,0.641,0.2
2020/7/1 4:35,24.5,24.5,0,23.57,24.5,96,96,95,95.593,1,560,561,560,560.185,1,18.7,18.7,18.4,18.585,0.3,10,10,10,10,0,0.7,0.9,0.7,0.774,0.2
2020/7/1 4:40,24.4,24.5,0,24.426,24.5,96,96,96,96,0,562,565,560,560.296,5,18.5,18.7,18.5,18.544,0.2,10,10,10,10,0,0.7,0.7,0.7,0.7,0
2020/7/1 4:45,24.3,24.4,0,24.378,24.4,97,97,96,96.926,1,560,562,560,560.222,2,18.6,18.7,18.5,18.678,0.2,10,10,10,10,0,0.5,0.7,0.5,0.5,0.2
2020/7/1 4:50,24.3,24.3,0,24.3,24.3,93,97,93,94.778,4,561,561,560,560.148,1,17.9,18.6,17.9,18.163,0.7,10,10,10,10,0,1.3,1.3,0.5,0.952,0.8
2020/7/1 4:55,24.4,24.4,0,24.363,24.4,92,93,92,92.37,1,560,562,560,560.407,2,17.8,18,17.8,17.841,0.2,10,10,10,10,0,1.5,1.5,1.3,1.426,0.2
2020/7/1 5:00,24.4,24.4,0,24.4,24.4,91,92,91,91.148,1,561,561,560,560.296,1,17.6,17.8,17.6,17.622,0.2,10,10,10,10,0,1.7,1.7,1.5,1.678,0.2
2020/7/1 5:05,24.4,24.4,0,24.4,24.4,91,91,89,89.852,2,560,566,560,560.556,6,17.6,17.6,17.2,17.354,0.4,10,10,10,10,0,1.7,2.1,1.7,1.946,0.4
2020/7/1 5:10,24.3,24.4,0,24.356,24.4,93,93,91,91.63,2,561,561,560,560.296,1,17.9,17.9,17.6,17.685,0.3,10,10,10,10,0,1.3,1.7,1.3,1.574,0.4
2020/7/1 5:15,24.2,24.3,0,24.23,24.3,93,93,93,93,0,562,565,560,562,5,17.7,17.9,17.7,17.759,0.2,10,10,10,10,0,1.3,1.3,1.3,1.3,0
2020/7/1 5:20,24.2,24.2,0,24.2,24.2,93,94,93,93.222,1,561,566,560,561.889,6,17.7,17.9,17.7,17.73,0.2,10,10,10,10,0,1.3,1.3,1.1,1.27,0.2
2020/7/1 5:25,24.1,24.2,0,23.252,24.2,93,94,93,93.037,1,561,565,560,561.185,5,17.6,17.9,17.6,17.652,0.3,10,10,10,10,0,1.3,1.3,1.1,1.3,0.2
2020/7/1 5:30,24.2,24.2,0,24.122,24.2,94,94,93,93.222,1,563,566,560,562.556,6,17.9,17.9,17.6,17.656,0.3,10,10,10,10,0,1.1,1.3,1.1,1.263,0.2
2020/7/1 5:35,24.2,24.2,0,24.2,24.2,93,94,93,93.259,1,563,565,561,563.222,4,17.7,17.9,17.7,17.767,0.2,10,10,10,10,0,1.3,1.3,1.1,1.233,0.2
2020/7/1 5:40,24.4,24.4,0,24.27,24.4,89,93,89,90.111,4,562,566,561,563.385,5,17.2,17.7,17.1,17.293,0.6,10,10,10,10,0,2.1,2.1,1.3,1.87,0.8
2020/7/1 5:45,24.4,24.4,0,24.4,24.4,88,89,88,88.444,1,560,565,560,560.821,5,17,17.2,17,17.096,0.2,10,10,10,10,0,2.3,2.3,2.1,2.204,0.2
2020/7/1 5:50,24.5,24.5,0,23.563,24.5,88,88,87,87.667,1,560,561,560,560.462,1,17.1,17.1,16.8,17.007,0.3,10,10,10,10,0,2.3,2.5,2.3,2.359,0.2
2020/7/1 5:55,24.5,24.5,0,24.5,24.5,88,88,87,87.259,1,561,562,560,560.37,2,17.1,17.1,16.9,16.944,0.2,10,10,10,10,0,2.3,2.5,2.3,2.456,0.2
2020/7/1 6:00,24.6,24.6,0,24.537,24.6,89,89,88,88.519,1,560,561,560,560.111,1,17.4,17.4,17.1,17.23,0.3,10,10,10,10,0,2.1,2.3,2.1,2.204,0.2
2020/7/1 6:05,24.6,24.6,0,24.6,24.6,89,90,89,89.231,1,561,561,559,560.222,2,17.4,17.6,17.4,17.437,0.2,10,10,10,10,0,2.1,2.1,1.9,2.063,0.2
2020/7/1 6:10,24.7,24.7,0,24.67,24.7,89,90,89,89.37,1,560,561,560,560.185,1,17.5,17.7,17.4,17.537,0.3,10,10,10,10,0,2.1,2.1,1.9,2.033,0.2
2020/7/1 6:15,24.8,24.8,0,24.737,24.8,90,90,89,89.852,1,560,561,556,559.593,5,17.8,17.8,17.5,17.711,0.3,10,10,10,10,0,1.9,2.1,1.9,1.93,0.2
2020/7/1 6:20,24.9,25,0,24.861,25,90,90,89,89.75,1,560,561,560,560.074,1,17.9,18,17.6,17.833,0.4,10,10,10,10,0,1.9,2.1,1.9,1.967,0.2
2020/7/1 6:25,25,25,0,24.954,25,90,90,90,90,0,561,561,560,560.185,1,18,18,17.9,17.959,0.1,10,10,10,10,0,2,2,1.9,1.959,0.1
2020/7/1 6:30,25,25.1,0,25.004,25.1,89,90,89,89.778,1,560,566,560,560.667,6,17.8,18,17.8,17.967,0.2,10,10,10,10,0,2.2,2.2,1.9,2.041,0.3
2020/7/1 6:35,25.1,25.1,0,25.096,25.1,90,90,89,89.923,1,560,561,560,560.038,1,18.2,18.2,17.8,18.177,0.4,10,10,10,10,0,2,2.2,2,2.015,0.2
2020/7/1 6:40,25.2,25.2,0,25.17,25.2,89,90,89,89.926,1,560,561,560,560.185,1,18.1,18.3,18.1,18.256,0.2,36,36,10,17.185,26,2.2,2.2,2,2.015,0.2
2020/7/1 6:45,25.3,25.3,0,25.267,25.3,89,89,89,89,0,561,561,556,559.556,5,18.2,18.2,18.1,18.156,0.1,84,84,36,60.37,48,2.2,2.2,2.2,2.2,0
2020/7/1 6:50,25.4,25.5,0,25.37,25.5,89,89,89,89,0,560,561,556,559.556,5,18.3,18.4,18.2,18.274,0.2,100,100,84,97.444,16,2.2,2.2,2.2,2.2,0
2020/7/1 6:55,25.6,25.6,0,25.496,25.6,88,89,88,88.556,1,561,561,559,560.111,2,18.3,18.4,18.1,18.307,0.3,100,100,100,100,0,2.5,2.5,2.2,2.3,0.3
2020/7/1 7:00,25.6,25.6,0,25.596,25.6,87,88,87,87.778,1,560,561,560,560.148,1,18.1,18.3,18.1,18.256,0.2,100,100,100,100,0,2.7,2.7,2.4,2.544,0.3
2020/7/1 7:05,25.7,25.7,0,25.678,25.7,86,88,86,87,2,560,561,560,560.148,1,18,18.4,18,18.163,0.4,100,100,100,100,0,2.9,2.9,2.5,2.715,0.4
2020/7/1 7:10,25.9,25.9,0,25.811,25.9,85,86,85,85.704,1,560,566,560,561.556,6,18,18.2,17.9,18.067,0.3,100,100,100,100,0,3.1,3.1,2.9,2.959,0.2
2020/7/1 7:15,26.1,26.1,0,26.033,26.1,84,85,84,84.704,1,559,561,556,559.667,5,18,18.2,18,18.074,0.2,100,100,100,100,0,3.4,3.4,3.1,3.252,0.3
2020/7/1 7:20,26.4,26.4,0,26.278,26.4,83,84,83,83.259,1,560,565,559,560.852,6,18.1,18.1,17.9,18.033,0.2,100,100,100,100,0,3.7,3.7,3.4,3.607,0.3
2020/7/1 7:25,26.7,26.7,0,26.585,26.7,82,83,82,82.222,1,556,561,555,558,6,18.2,18.5,18,18.15,0.5,100,100,100,100,0,4,4,3.7,3.858,0.3
2020/7/1 7:30,27,27,0,26.819,27,82,82,81,81.63,1,560,562,555,557.556,7,18.6,18.6,18.1,18.304,0.5,100,100,100,100,0,4,4.3,4,4.075,0.3
2020/7/1 7:35,27.2,27.2,0,27.119,27.2,80,82,80,80.852,2,556,561,556,559.222,5,18.4,18.7,18.4,18.488,0.3,100,100,100,100,0,4.6,4.6,4,4.346,0.6
2020/7/1 7:40,27.3,27.3,0,27.241,27.3,80,81,80,80.481,1,560,561,556,559.37,5,18.5,18.7,18.4,18.536,0.3,100,100,100,100,0,4.6,4.6,4.3,4.461,0.3
2020/7/1 7:45,27.2,27.3,0,27.226,27.3,80,81,80,80.074,1,560,561,560,560.222,1,18.4,18.7,18.4,18.427,0.3,100,100,100,100,0,4.6,4.6,4.3,4.6,0.3
2020/7/1 7:50,27.1,27.2,0,27.189,27.2,79,80,79,79.741,1,560,562,560,560.222,2,18,18.4,18,18.311,0.4,100,100,100,100,0,4.8,4.8,4.5,4.648,0.3
2020/7/1 7:55,27,27.1,0,27.067,27.1,80,80,79,79.481,1,561,562,560,560.593,2,18.1,18.2,17.9,18.041,0.3,100,100,100,100,0,4.5,4.8,4.5,4.656,0.3
2020/7/1 8:00,26.9,27,0,26.989,27,80,81,80,80.111,1,561,565,560,561.778,5,18,18.2,18,18.1,0.2,100,100,100,100,0,4.5,4.5,4.2,4.489,0.3
2020/7/1 8:05,26.9,26.9,0,26.9,26.9,80,81,80,80.111,1,565,566,560,563.111,6,18,18.2,18,18.03,0.2,100,100,100,100,0,4.5,4.5,4.2,4.456,0.3
2020/7/1 8:10,26.9,26.9,0,26.878,26.9,80,81,79,80,2,561,566,560,562.778,6,18,18.2,17.7,17.978,0.5,100,100,100,100,0,4.5,4.7,4.2,4.478,0.5
2020/7/1 8:15,26.9,26.9,0,26.9,26.9,80,80,80,80,0,565,566,560,562.667,6,18,18,18,18,0,100,100,100,100,0,4.5,4.5,4.5,4.5,0
2020/7/1 8:20,26.9,26.9,0,26.9,26.9,79,80,79,79.519,1,561,566,560,562.741,6,17.8,18,17.8,17.911,0.2,100,100,100,100,0,4.7,4.7,4.5,4.589,0.2
2020/7/1 8:25,26.9,26.9,0,26.9,26.9,78,79,78,78.889,1,562,565,560,563.185,5,17.6,17.8,17.6,17.785,0.2,100,100,100,100,0,4.9,4.9,4.7,4.715,0.2
2020/7/1 8:30,26.9,26.9,0,26.9,26.9,78,79,78,78,1,561,565,560,563,5,17.6,17.8,17.6,17.6,0.2,100,100,100,100,0,4.9,4.9,4.7,4.9,0.2
2020/7/1 8:35,27,27,0,26.952,27,78,78,78,78,0,562,566,560,561.462,6,17.7,17.7,17.6,17.648,0.1,100,100,100,100,0,4.9,4.9,4.9,4.9,0
2020/7/1 8:40,27.1,27.1,0,26.059,27.1,77,78,77,77.481,1,561,565,550,560.037,15,17.6,17.8,17.6,17.667,0.2,100,100,100,100,0,5.2,5.2,4.9,5.059,0.3
2020/7/1 8:45,27.2,27.2,0,27.119,27.2,77,78,77,77.115,1,561,565,560,561.333,5,17.7,17.8,17.6,17.637,0.2,100,100,100,100,0,5.2,5.2,5,5.185,0.2
2020/7/1 8:50,27.3,27.3,0,27.23,27.3,77,77,77,77,0,560,563,560,560.963,3,17.8,17.8,17.7,17.73,0.1,100,100,100,100,0,5.3,5.3,5.2,5.23,0.1
2020/7/1 8:55,27.4,27.4,0,27.33,27.4,76,77,76,76.63,1,560,561,560,560.111,1,17.6,17.9,17.5,17.719,0.4,100,100,100,100,0,5.5,5.5,5.3,5.374,0.2
2020/7/1 9:00,27.4,27.4,0,27.4,27.4,76,76,76,76,0,562,562,560,560.148,2,17.6,17.6,17.6,17.6,0,100,100,100,100,0,5.5,5.5,5.5,5.5,0
2020/7/1 9:05,27.4,27.4,0,27.4,27.4,76,76,76,76,0,560,562,560,560.556,2,17.6,17.6,17.6,17.6,0,100,100,100,100,0,5.5,5.5,5.5,5.5,0
2020/7/1 9:10,27.3,27.4,0,27.337,27.4,77,77,76,76.741,1,561,565,560,560.815,5,17.8,17.9,17.6,17.759,0.3,100,100,100,100,0,5.3,5.5,5.3,5.352,0.2
2020/7/1 9:15,27.5,27.6,0,26.407,27.6,77,77,76,76.963,1,560,563,560,560.704,3,18,18.1,17.8,17.933,0.3,100,100,100,100,0,5.3,5.6,5.3,5.319,0.3
2020/7/1 9:20,27.6,27.6,0,27.467,27.6,78,78,77,77.741,1,561,563,560,560.593,3,18.3,18.3,17.9,18.119,0.4,100,100,100,100,0,5.1,5.3,5.1,5.144,0.2
2020/7/1 9:25,27.6,27.6,0,27.6,27.6,78,78,78,78,0,560,562,560,560.556,2,18.3,18.3,18.3,18.3,0,100,100,100,100,0,5.1,5.1,5.1,5.1,0
2020/7/1 9:30,27.4,27.6,0,27.459,27.6,79,79,78,78.481,1,561,566,560,561.963,6,18.3,18.3,18.1,18.252,0.2,100,100,100,100,0,4.8,5.1,4.8,4.956,0.3
2020/7/1 9:35,27.3,27.4,0,27.326,27.4,80,80,79,79.519,1,561,563,560,561.111,3,18.5,18.5,18.2,18.415,0.3,100,100,100,100,0,4.6,4.8,4.6,4.674,0.2
2020/7/1 9:40,26.8,27.3,0,27.126,27.3,80,81,80,80.259,1,560,565,560,562.444,5,17.9,18.6,17.9,18.369,0.7,100,100,100,100,0,4.4,4.6,4.3,4.469,0.3
2020/7/1 9:45,26.4,26.8,0,26.581,26.8,82,82,80,81.37,2,566,566,560,563.889,6,17.9,18.1,17.8,17.963,0.3,100,100,100,100,0,3.9,4.4,3.9,4.067,0.5
2020/7/1 9:50,26.4,26.4,0,26.348,26.4,82,83,82,82.444,1,565,566,565,565.074,1,17.9,18.1,17.8,17.907,0.3,100,100,100,100,0,3.9,3.9,3.7,3.841,0.2
2020/7/1 9:55,26.4,26.4,0,26.359,26.4,82,83,82,82.481,1,561,566,560,563.815,6,17.9,18.1,17.8,17.952,0.3,100,100,100,100,0,3.9,3.9,3.7,3.811,0.2
2020/7/1 10:00,26.9,26.9,0,26.633,26.9,82,83,82,82.222,1,561,566,560,561.704,6,18.5,18.5,17.9,18.207,0.6,100,100,100,100,0,4,4,3.7,3.874,0.3
2020/7/1 10:05,27.5,27.5,0,26.215,27.5,79,82,79,80.444,3,560,561,560,560.444,1,18.5,18.7,18.4,18.507,0.3,100,100,100,100,0,4.9,4.9,4,4.456,0.9
2020/7/1 10:10,27.2,27.5,0,27.307,27.5,79,79,78,78.407,1,562,562,560,560.519,2,18.1,18.5,17.9,18.115,0.6,100,100,100,100,0,4.8,5.1,4.8,4.933,0.3
2020/7/1 10:15,27.1,27.2,0,27.152,27.2,79,79,78,78.519,1,560,563,560,560.704,3,18,18.1,17.8,17.989,0.3,100,100,100,100,0,4.8,5,4.8,4.867,0.2
2020/7/1 10:20,27,27.1,0,27.081,27.1,78,79,78,78.111,1,561,563,559,560.148,4,17.7,18,17.7,17.8,0.3,100,100,100,100,0,4.9,5,4.7,4.967,0.3
2020/7/1 10:25,27.2,27.2,0,27.089,27.2,78,79,78,78.63,1,561,563,560,560.741,3,17.9,18.1,17.7,17.941,0.4,100,100,100,100,0,5,5,4.7,4.793,0.3
2020/7/1 10:30,27,27.2,0,27.03,27.2,78,79,78,78.074,1,561,566,560,561.385,6,17.7,17.9,17.6,17.767,0.3,100,100,100,100,0,4.9,5,4.7,4.904,0.3
2020/7/1 10:35,27,27,0,26.959,27,78,79,78,78.037,1,561,566,560,562.429,6,17.7,17.9,17.6,17.674,0.3,100,100,100,100,0,4.9,4.9,4.7,4.885,0.2
2020/7/1 10:40,27.6,27.6,0,26.222,27.6,77,78,77,77.741,1,561,565,560,560.538,5,18.1,18.1,17.7,17.859,0.4,100,100,100,100,0,5.4,5.4,4.9,5.07,0.5
2020/7/1 10:45,28,28.3,0,28.07,28.3,75,77,74,74.741,3,561,561,560,560.111,1,18.1,18.4,17.8,18.063,0.6,100,100,100,100,0,6,6.3,5.4,6.048,0.9
2020/7/1 10:50,28.5,28.5,0,28.267,28.5,74,75,74,74.852,1,560,561,560,560.37,1,18.4,18.5,18.1,18.326,0.4,100,100,100,100,0,6.4,6.4,6,6.122,0.4
2020/7/1 10:55,28.5,28.5,0,28.5,28.5,74,74,74,74,0,559,561,559,559.815,2,18.4,18.4,18.4,18.4,0,100,100,100,100,0,6.4,6.4,6.4,6.4,0
